day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;200;AMETHYSTS;9998;1;9996;3;9995;77;10004;3;10005;77;;;10001.0;0.0
1;200;ORCHIDS;1094;16;1093;11;1092;3;1101;6;1102;19;1103;2;1097.5;0.0
1;200;STARFRUIT;5048;3;5047;78;;;5052;4;5054;80;;;5050.0;0.0
1;300;AMETHYSTS;9996;1;9995;27;;;9998;1;10004;1;10005;27;9997.0;0.0
1;300;STARFRUIT;5047;27;;;;;5054;28;;;;;5050.5;0.0
1;300;ORCHIDS;1093;10;1092;4;1085;52;1101;10;1102;4;1109;52;1097.0;0.0
1;400;AMETHYSTS;9995;25;;;;;10005;25;;;;;10000.0;2.0
1;400;ORCHIDS;1093;10;1092;3;1086;51;1101;10;1102;3;1109;51;1097.0;0.0
1;400;STARFRUIT;5048;5;5047;25;;;5054;25;;;;;5051.0;0.0
1;500;STARFRUIT;5048;22;;;;;5055;22;;;;;5051.5;0.0
1;500;ORCHIDS;1094;5;1093;4;1086;41;1102;5;1103;4;1109;41;1098.0;0.0
1;500;AMETHYSTS;9995;22;;;;;10005;22;;;;;10000.0;2.0
1;600;AMETHYSTS;9995;25;;;;;10005;25;;;;;10000.0;2.0
1;600;ORCHIDS;1093;10;1092;3;1086;49;1101;10;1102;3;1109;49;1097.0;0.0
1;600;STARFRUIT;5048;25;;;;;5053;2;5055;25;;;5050.5;0.0
1;700;AMETHYSTS;9995;23;;;;;9998;9;10005;23;;;9996.5;2.0
1;700;STARFRUIT;5049;5;5048;23;;;5055;23;;;;;5052.0;0.0
1;700;ORCHIDS;1093;6;1092;5;1086;41;1101;6;1102;5;1109;41;1097.0;0.0
1;800;AMETHYSTS;9996;1;9995;27;;;10004;1;10005;27;;;10000.0;26.0
1;800;ORCHIDS;1093;10;1092;3;1085;47;1101;10;1102;3;1108;47;1097.0;0.0
1;800;STARFRUIT;5048;28;;;;;5055;28;;;;;5051.5;4.83203125
1;900;STARFRUIT;5048;21;;;;;5055;21;;;;;5051.5;5.3505859375
1;900;ORCHIDS;1093;10;1092;5;1086;45;1101;10;1102;5;1109;45;1097.0;0.0
1;900;AMETHYSTS;9995;21;;;;;10005;21;;;;;10000.0;26.0
1;1000;ORCHIDS;1094;8;1092;3;1086;54;1101;8;1103;3;1109;54;1097.5;0.0
1;1000;STARFRUIT;5049;2;5048;28;;;5055;30;;;;;5052.0;4.0625
1;1000;AMETHYSTS;10002;2;9996;2;9995;28;10004;2;10005;28;;;10003.0;26.0
1;1100;AMETHYSTS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;30.0
1;1100;STARFRUIT;5049;30;;;;;5055;2;5056;28;;;5052.0;3.572265625
1;1100;ORCHIDS;1092;10;1091;3;1085;57;1100;10;1101;3;1108;57;1096.0;0.0
1;1200;ORCHIDS;1094;9;1093;5;1087;49;1102;9;1103;5;1110;49;1098.0;0.0
1;1200;STARFRUIT;5050;1;5049;28;;;5056;29;;;;;5053.0;25.2578125
1;1200;AMETHYSTS;9996;1;9995;28;;;10004;1;10005;28;;;10000.0;30.0
1;1300;STARFRUIT;5050;23;;;;;5057;23;;;;;5053.5;27.02734375
1;1300;ORCHIDS;1094;6;1093;4;1086;39;1102;6;1103;4;1109;39;1098.0;0.0
1;1300;AMETHYSTS;9995;23;;;;;9998;1;10002;7;10005;23;9996.5;30.0
1;1400;ORCHIDS;1095;5;1094;4;1087;45;1103;5;1104;4;1110;45;1099.0;0.0
1;1400;STARFRUIT;5050;2;5049;24;;;5056;26;;;;;5053.0;25.67578125
1;1400;AMETHYSTS;9996;2;9995;24;;;10002;4;10004;2;10005;24;9999.0;32.0
1;1500;ORCHIDS;1094;9;1093;2;1086;54;1102;9;1103;2;1109;54;1098.0;0.0
1;1500;AMETHYSTS;9996;2;9995;29;;;10002;7;10004;2;10005;29;9999.0;32.0
1;1500;STARFRUIT;5049;30;;;;;5056;31;;;;;5052.5;22.83984375
