day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
0,0,ROSES,14999,72,N/A,N/A,N/A,N/A,15001,72,N/A,N/A,N/A,N/A,15000.0,0.0
0,100,ROSES,14999,66,N/A,N/A,N/A,N/A,15001,66,N/A,N/A,N/A,N/A,15000.0,0.0
0,200,ROSES,15000,61,N/A,N/A,N/A,N/A,15001,21,15002.0,40.0,N/A,N/A,15000.5,0.0
0,300,ROSES,14999,69,N/A,N/A,N/A,N/A,15001,69,N/A,N/A,N/A,N/A,15000.0,0.0
0,400,ROSES,14997,62,N/A,N/A,N/A,N/A,14998,62,N/A,N/A,N/A,N/A,14997.5,0.0
0,500,ROSES,14996,30,14995.0,35.0,N/A,N/A,14997,65,N/A,N/A,N/A,N/A,14996.5,0.0
0,600,ROSES,14993,67,N/A,N/A,N/A,N/A,14994,67,N/A,N/A,N/A,N/A,14993.5,0.0
0,700,ROSES,14993,56,N/A,N/A,N/A,N/A,14994,56,N/A,N/A,N/A,N/A,14993.5,0.0
0,800,ROSES,14997,30,14996.0,42.0,N/A,N/A,14998,72,N/A,N/A,N/A,N/A,14997.5,0.0
0,900,ROSES,14995,67,N/A,N/A,N/A,N/A,14997,67,N/A,N/A,N/A,N/A,14996.0,0.0
0,1000,ROSES,14994,19,14993.0,50.0,N/A,N/A,14995,69,N/A,N/A,N/A,N/A,14994.5,0.0
0,1100,ROSES,14995,65,N/A,N/A,N/A,N/A,14996,65,N/A,N/A,N/A,N/A,14995.5,0.0
0,1200,ROSES,14996,67,N/A,N/A,N/A,N/A,14997,67,N/A,N/A,N/A,N/A,14996.5,0.0
0,1300,ROSES,14996,78,N/A,N/A,N/A,N/A,14997,29,14998.0,49.0,N/A,N/A,14996.5,0.0
0,1400,ROSES,14994,24,14993.0,50.0,N/A,N/A,14995,74,N/A,N/A,N/A,N/A,14994.5,0.0
0,1500,ROSES,14993,64,N/A,N/A,N/A,N/A,14995,64,N/A,N/A,N/A,N/A,14994.0,0.0
0,1600,ROSES,14995,75,N/A,N/A,N/A,N/A,14997,75,N/A,N/A,N/A,N/A,14996.0,0.0
0,1700,ROSES,14992,17,14991.0,40.0,N/A,N/A,14993,57,N/A,N/A,N/A,N/A,14992.5,0.0
0,1800,ROSES,14990,56,N/A,N/A,N/A,N/A,14992,56,N/A,N/A,N/A,N/A,14991.0,0.0
0,1900,ROSES,14985,60,N/A,N/A,N/A,N/A,14986,60,N/A,N/A,N/A,N/A,14985.5,0.0
0,2000,ROSES,14981,64,N/A,N/A,N/A,N/A,14982,23,14983.0,41.0,N/A,N/A,14981.5,0.0
0,2100,ROSES,14976,69,N/A,N/A,N/A,N/A,14977,69,N/A,N/A,N/A,N/A,14976.5,0.0
0,2200,ROSES,14975,54,N/A,N/A,N/A,N/A,14977,54,N/A,N/A,N/A,N/A,14976.0,0.0
0,2300,ROSES,14972,24,14971.0,31.0,N/A,N/A,14973,55,N/A,N/A,N/A,N/A,14972.5,0.0
0,2400,ROSES,14972,69,N/A,N/A,N/A,N/A,14974,69,N/A,N/A,N/A,N/A,14973.0,0.0
0,2500,ROSES,14973,47,N/A,N/A,N/A,N/A,14974,47,N/A,N/A,N/A,N/A,14973.5,0.0
0,2600,ROSES,14972,66,N/A,N/A,N/A,N/A,14974,66,N/A,N/A,N/A,N/A,14973.0,0.0
0,2700,ROSES,14965,57,N/A,N/A,N/A,N/A,14967,57,N/A,N/A,N/A,N/A,14966.0,0.0
0,2800,ROSES,14964,20,14963.0,49.0,N/A,N/A,14965,69,N/A,N/A,N/A,N/A,14964.5,0.0
0,2900,ROSES,14964,28,14963.0,41.0,N/A,N/A,14965,69,N/A,N/A,N/A,N/A,14964.5,0.0
0,3000,ROSES,14964,66,N/A,N/A,N/A,N/A,14965,66,N/A,N/A,N/A,N/A,14964.5,0.0
0,3100,ROSES,14960,29,14959.0,40.0,N/A,N/A,14961,69,N/A,N/A,N/A,N/A,14960.5,0.0
0,3200,ROSES,14958,66,N/A,N/A,N/A,N/A,14959,22,14960.0,44.0,N/A,N/A,14958.5,0.0
0,3300,ROSES,14955,76,N/A,N/A,N/A,N/A,14957,76,N/A,N/A,N/A,N/A,14956.0,0.0
0,3400,ROSES,14953,60,N/A,N/A,N/A,N/A,14954,15,14955.0,45.0,N/A,N/A,14953.5,0.0
0,3500,ROSES,14956,59,N/A,N/A,N/A,N/A,14957,18,14958.0,41.0,N/A,N/A,14956.5,0.0
0,3600,ROSES,14954,60,N/A,N/A,N/A,N/A,14955,60,N/A,N/A,N/A,N/A,14954.5,0.0
0,3700,ROSES,14954,28,14953.0,47.0,N/A,N/A,14955,75,N/A,N/A,N/A,N/A,14954.5,0.0
0,3800,ROSES,14956,54,N/A,N/A,N/A,N/A,14957,24,14958.0,30.0,N/A,N/A,14956.5,0.0
0,3900,ROSES,14954,66,N/A,N/A,N/A,N/A,14956,66,N/A,N/A,N/A,N/A,14955.0,0.0
0,4000,ROSES,14954,48,N/A,N/A,N/A,N/A,14955,18,14956.0,30.0,N/A,N/A,14954.5,0.0
0,4100,ROSES,14954,57,N/A,N/A,N/A,N/A,14956,57,N/A,N/A,N/A,N/A,14955.0,0.0
0,4200,ROSES,14955,22,14954.0,34.0,N/A,N/A,14956,56,N/A,N/A,N/A,N/A,14955.5,0.0
0,4300,ROSES,14951,67,N/A,N/A,N/A,N/A,14952,18,14953.0,49.0,N/A,N/A,14951.5,0.0
0,4400,ROSES,14951,66,N/A,N/A,N/A,N/A,14953,66,N/A,N/A,N/A,N/A,14952.0,0.0
0,4500,ROSES,14955,65,N/A,N/A,N/A,N/A,14956,18,14957.0,47.0,N/A,N/A,14955.5,0.0
0,4600,ROSES,14951,66,N/A,N/A,N/A,N/A,14952,66,N/A,N/A,N/A,N/A,14951.5,0.0
0,4700,ROSES,14953,60,N/A,N/A,N/A,N/A,14955,60,N/A,N/A,N/A,N/A,14954.0,0.0
0,4800,ROSES,14954,18,14953.0,36.0,N/A,N/A,14955,54,N/A,N/A,N/A,N/A,14954.5,0.0
0,4900,ROSES,14952,64,N/A,N/A,N/A,N/A,14953,64,N/A,N/A,N/A,N/A,14952.5,0.0
0,5000,ROSES,14957,54,N/A,N/A,N/A,N/A,14959,54,N/A,N/A,N/A,N/A,14958.0,0.0
0,5100,ROSES,14960,29,14959.0,33.0,N/A,N/A,14961,62,N/A,N/A,N/A,N/A,14960.5,0.0
0,5200,ROSES,14956,49,N/A,N/A,N/A,N/A,14957,19,14958.0,30.0,N/A,N/A,14956.5,0.0
0,5300,ROSES,14956,74,N/A,N/A,N/A,N/A,14958,74,N/A,N/A,N/A,N/A,14957.0,0.0
0,5400,ROSES,14958,65,N/A,N/A,N/A,N/A,14959,65,N/A,N/A,N/A,N/A,14958.5,0.0
0,5500,ROSES,14957,52,N/A,N/A,N/A,N/A,14959,52,N/A,N/A,N/A,N/A,14958.0,0.0
0,5600,ROSES,14959,61,N/A,N/A,N/A,N/A,14961,61,N/A,N/A,N/A,N/A,14960.0,0.0
0,5700,ROSES,14959,52,N/A,N/A,N/A,N/A,14960,21,14961.0,31.0,N/A,N/A,14959.5,0.0
0,5800,ROSES,14961,68,N/A,N/A,N/A,N/A,14962,28,14963.0,40.0,N/A,N/A,14961.5,0.0
0,5900,ROSES,14965,53,N/A,N/A,N/A,N/A,14966,15,14967.0,38.0,N/A,N/A,14965.5,0.0
0,6000,ROSES,14963,68,N/A,N/A,N/A,N/A,14964,29,14965.0,39.0,N/A,N/A,14963.5,0.0
0,6100,ROSES,14964,29,14963.0,34.0,N/A,N/A,14965,63,N/A,N/A,N/A,N/A,14964.5,0.0
0,6200,ROSES,14962,73,N/A,N/A,N/A,N/A,14964,73,N/A,N/A,N/A,N/A,14963.0,0.0
0,6300,ROSES,14963,20,14962.0,33.0,N/A,N/A,14964,53,N/A,N/A,N/A,N/A,14963.5,0.0
0,6400,ROSES,14959,62,N/A,N/A,N/A,N/A,14961,62,N/A,N/A,N/A,N/A,14960.0,0.0
0,6500,ROSES,14958,18,14957.0,43.0,N/A,N/A,14959,61,N/A,N/A,N/A,N/A,14958.5,0.0
0,6600,ROSES,14957,53,N/A,N/A,N/A,N/A,14958,22,14959.0,31.0,N/A,N/A,14957.5,0.0
0,6700,ROSES,14960,26,14959.0,44.0,N/A,N/A,14961,70,N/A,N/A,N/A,N/A,14960.5,0.0
0,6800,ROSES,14963,54,N/A,N/A,N/A,N/A,14964,54,N/A,N/A,N/A,N/A,14963.5,0.0
0,6900,ROSES,14959,58,N/A,N/A,N/A,N/A,14960,17,14961.0,41.0,N/A,N/A,14959.5,0.0
0,7000,ROSES,14957,69,N/A,N/A,N/A,N/A,14958,69,N/A,N/A,N/A,N/A,14957.5,0.0
0,7100,ROSES,14959,18,14958.0,45.0,N/A,N/A,14960,63,N/A,N/A,N/A,N/A,14959.5,0.0
0,7200,ROSES,14953,60,N/A,N/A,N/A,N/A,14954,17,14955.0,43.0,N/A,N/A,14953.5,0.0
0,7300,ROSES,14952,16,14951.0,49.0,N/A,N/A,14953,65,N/A,N/A,N/A,N/A,14952.5,0.0
0,7400,ROSES,14951,60,N/A,N/A,N/A,N/A,14953,60,N/A,N/A,N/A,N/A,14952.0,0.0
0,7500,ROSES,14955,61,N/A,N/A,N/A,N/A,14956,61,N/A,N/A,N/A,N/A,14955.5,0.0
0,7600,ROSES,14957,64,N/A,N/A,N/A,N/A,14958,64,N/A,N/A,N/A,N/A,14957.5,0.0
0,7700,ROSES,14956,72,N/A,N/A,N/A,N/A,14957,72,N/A,N/A,N/A,N/A,14956.5,0.0
0,7800,ROSES,14955,72,N/A,N/A,N/A,N/A,14956,72,N/A,N/A,N/A,N/A,14955.5,0.0
0,7900,ROSES,14954,72,N/A,N/A,N/A,N/A,14956,72,N/A,N/A,N/A,N/A,14955.0,0.0
0,8000,ROSES,14959,26,14958.0,35.0,N/A,N/A,14960,61,N/A,N/A,N/A,N/A,14959.5,0.0
0,8100,ROSES,14957,77,N/A,N/A,N/A,N/A,14959,77,N/A,N/A,N/A,N/A,14958.0,0.0
0,8200,ROSES,14956,60,N/A,N/A,N/A,N/A,14958,60,N/A,N/A,N/A,N/A,14957.0,0.0
0,8300,ROSES,14957,67,N/A,N/A,N/A,N/A,14959,67,N/A,N/A,N/A,N/A,14958.0,0.0
0,8400,ROSES,14957,70,N/A,N/A,N/A,N/A,14958,22,14959.0,48.0,N/A,N/A,14957.5,0.0
0,8500,ROSES,14956,64,N/A,N/A,N/A,N/A,14958,64,N/A,N/A,N/A,N/A,14957.0,0.0
0,8600,ROSES,14953,69,N/A,N/A,N/A,N/A,14955,69,N/A,N/A,N/A,N/A,14954.0,0.0
0,8700,ROSES,14953,53,N/A,N/A,N/A,N/A,14955,50,N/A,N/A,N/A,N/A,14954.0,0.0
0,8800,ROSES,14952,70,N/A,N/A,N/A,N/A,14953,22,14954.0,48.0,N/A,N/A,14952.5,0.0
0,8900,ROSES,14955,69,N/A,N/A,N/A,N/A,14957,69,N/A,N/A,N/A,N/A,14956.0,0.0
0,9000,ROSES,14957,62,N/A,N/A,N/A,N/A,14958,15,14959.0,47.0,N/A,N/A,14957.5,0.0
0,9100,ROSES,14957,66,N/A,N/A,N/A,N/A,14958,28,14959.0,38.0,N/A,N/A,14957.5,0.0
0,9200,ROSES,14959,49,N/A,N/A,N/A,N/A,14960,49,N/A,N/A,N/A,N/A,14959.5,0.0
0,9300,ROSES,14958,53,N/A,N/A,N/A,N/A,14959,53,N/A,N/A,N/A,N/A,14958.5,0.0
0,9400,ROSES,14961,58,N/A,N/A,N/A,N/A,14962,58,N/A,N/A,N/A,N/A,14961.5,0.0
0,9500,ROSES,14961,67,N/A,N/A,N/A,N/A,14962,67,N/A,N/A,N/A,N/A,14961.5,0.0
0,9600,ROSES,14963,23,14962.0,41.0,N/A,N/A,14964,64,N/A,N/A,N/A,N/A,14963.5,0.0
0,9700,ROSES,14959,57,N/A,N/A,N/A,N/A,14960,57,N/A,N/A,N/A,N/A,14959.5,0.0
0,9800,ROSES,14960,46,N/A,N/A,N/A,N/A,14961,46,N/A,N/A,N/A,N/A,14960.5,0.0
0,9900,ROSES,14955,79,N/A,N/A,N/A,N/A,14956,29,14957.0,50.0,N/A,N/A,14955.5,0.0
0,10000,ROSES,14949,71,N/A,N/A,N/A,N/A,14951,71,N/A,N/A,N/A,N/A,14950.0,0.0
0,10100,ROSES,14948,59,N/A,N/A,N/A,N/A,14950,59,N/A,N/A,N/A,N/A,14949.0,0.0
0,10200,ROSES,14946,64,N/A,N/A,N/A,N/A,14947,64,N/A,N/A,N/A,N/A,14946.5,0.0
0,10300,ROSES,14946,60,N/A,N/A,N/A,N/A,14948,60,N/A,N/A,N/A,N/A,14947.0,0.0
0,10400,ROSES,14953,20,14952.0,33.0,N/A,N/A,14954,53,N/A,N/A,N/A,N/A,14953.5,0.0
0,10500,ROSES,14950,71,N/A,N/A,N/A,N/A,14952,71,N/A,N/A,N/A,N/A,14951.0,0.0
0,10600,ROSES,14949,29,14948.0,36.0,N/A,N/A,14950,65,N/A,N/A,N/A,N/A,14949.5,0.0
0,10700,ROSES,14949,53,N/A,N/A,N/A,N/A,14950,21,14951.0,32.0,N/A,N/A,14949.5,0.0
0,10800,ROSES,14950,57,N/A,N/A,N/A,N/A,14952,57,N/A,N/A,N/A,N/A,14951.0,0.0
0,10900,ROSES,14950,56,N/A,N/A,N/A,N/A,14951,56,N/A,N/A,N/A,N/A,14950.5,0.0
0,11000,ROSES,14949,62,N/A,N/A,N/A,N/A,14951,62,N/A,N/A,N/A,N/A,14950.0,0.0
0,11100,ROSES,14951,56,N/A,N/A,N/A,N/A,14953,56,N/A,N/A,N/A,N/A,14952.0,0.0
