day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
0,0,STRAWBERRIES,3999,210,N/A,N/A,N/A,N/A,4001,210,N/A,N/A,N/A,N/A,4000.0,0.0
0,100,STRAWBERRIES,3999,265,N/A,N/A,N/A,N/A,4000,265,N/A,N/A,N/A,N/A,3999.5,0.0
0,200,STRAWBERRIES,3999,282,N/A,N/A,N/A,N/A,4000,282,N/A,N/A,N/A,N/A,3999.5,0.0
0,300,STRAWBERRIES,3999,218,N/A,N/A,N/A,N/A,4000,218,N/A,N/A,N/A,N/A,3999.5,0.0
0,400,STRAWBERRIES,3999,79,3998.0,190.0,N/A,N/A,4000,269,N/A,N/A,N/A,N/A,3999.5,0.0
0,500,STRAWBERRIES,3999,163,N/A,N/A,N/A,N/A,4000,163,N/A,N/A,N/A,N/A,3999.5,0.0
0,600,STRAWBERRIES,3999,232,N/A,N/A,N/A,N/A,4000,69,4001.0,163.0,N/A,N/A,3999.5,0.0
0,700,STRAWBERRIES,3999,260,N/A,N/A,N/A,N/A,4000,74,4001.0,186.0,N/A,N/A,3999.5,0.0
0,800,STRAWBERRIES,3999,59,3998.0,136.0,N/A,N/A,4000,195,N/A,N/A,N/A,N/A,3999.5,0.0
0,900,STRAWBERRIES,3999,168,N/A,N/A,N/A,N/A,4000,168,N/A,N/A,N/A,N/A,3999.5,0.0
0,1000,STRAWBERRIES,3999,67,3998.0,175.0,N/A,N/A,4000,242,N/A,N/A,N/A,N/A,3999.5,0.0
0,1100,STRAWBERRIES,3999,215,N/A,N/A,N/A,N/A,4000,99,4001.0,116.0,N/A,N/A,3999.5,0.0
0,1200,STRAWBERRIES,3999,258,N/A,N/A,N/A,N/A,4000,258,N/A,N/A,N/A,N/A,3999.5,0.0
0,1300,STRAWBERRIES,3999,177,N/A,N/A,N/A,N/A,4001,177,N/A,N/A,N/A,N/A,4000.0,0.0
0,1400,STRAWBERRIES,3999,99,3998.0,128.0,N/A,N/A,4000,227,N/A,N/A,N/A,N/A,3999.5,0.0
0,1500,STRAWBERRIES,3999,195,N/A,N/A,N/A,N/A,4001,195,N/A,N/A,N/A,N/A,4000.0,0.0
0,1600,STRAWBERRIES,3999,288,N/A,N/A,N/A,N/A,4000,89,4001.0,199.0,N/A,N/A,3999.5,0.0
0,1700,STRAWBERRIES,3999,196,N/A,N/A,N/A,N/A,4000,196,N/A,N/A,N/A,N/A,3999.5,0.0
0,1800,STRAWBERRIES,3999,250,N/A,N/A,N/A,N/A,4000,78,4001.0,172.0,N/A,N/A,3999.5,0.0
0,1900,STRAWBERRIES,4000,199,N/A,N/A,N/A,N/A,4001,199,N/A,N/A,N/A,N/A,4000.5,0.0
0,2000,STRAWBERRIES,4000,172,N/A,N/A,N/A,N/A,4001,172,N/A,N/A,N/A,N/A,4000.5,0.0
0,2100,STRAWBERRIES,4000,279,N/A,N/A,N/A,N/A,4001,279,N/A,N/A,N/A,N/A,4000.5,0.0
